N,avg_aoi,total_energy_Wh
10,114.33294250368722,59.961381931801476
20,151.65363343345678,59.2566161605246
30,176.8231487345263,59.47830265170597
40,192.11902303163123,59.34365343465715
50,231.93108875059266,59.82554786583261
