alpha,avg_aoi,energy_norm,beta,gamma
0.0,165.58126154990762,0.9984838728798161,0.8,1.6
0.25,168.63554161566682,0.9963855544512616,1.0,1.35
0.5,171.97747017607207,0.9839090734977941,1.2000000000000002,1.1
0.75,185.32592263703526,0.9947964506505864,1.4000000000000001,0.8500000000000001
1.0,175.63040550773488,0.9882913525328637,1.6,0.6000000000000001
