time_s,energy_Wh,uav_x,uav_y,served_node,aoi_avg,aoi_max
28.002219035317047,1.3999162825404166,186.6403407741003,279.1605206777901,0,27.068811734139807,28.002219035317047
33.29828206461868,1.6645247647800627,211.04019335868273,220.7180744390409,22,31.254932027954155,33.29828206461868
40.73644095473233,2.0362380400603097,210.71310651259955,131.6820767285668,26,37.33520955291007,40.73644095473233
42.60632026444699,2.129537336320607,198.8659663918022,112.88709916343265,1,37.784878187143164,42.60632026444699
56.734651685635086,2.835759238154576,43.14763301600377,179.37478435924913,24,50.022054552143416,56.734651685635086
60.21156673847424,3.009410321571098,1.6515539604109453,178.69343264775594,10,51.49191738036675,60.21156673847424
89.33109942880573,4.465192286862237,227.05675442655837,445.4185228019509,16,77.63374675640473,89.33109942880573
99.40416917550114,4.968651104971572,347.6055965177631,450.4913225857996,9,84.39334419725009,99.40416917550114
113.27075763055163,5.661785858498661,386.8222385020731,289.007265541463,13,94.48424073128218,113.27075763055163
125.92902159985536,6.294504387738412,537.1525789571358,309.1805594941666,18,102.94487064725742,125.92902159985536
132.01999616116592,6.598858446578504,543.0305651432867,236.54762952206943,19,104.63517866986247,132.01999616116592
145.82062118875592,7.288695028732569,445.1598018640213,103.22881520094806,29,113.57511632449392,145.82062118875592
169.16543547672524,8.4557410739056,724.9706346075004,110.91804770985448,15,131.28108276323903,169.16543547672524
194.92366930763617,9.74345809622571,999.6491397821216,252.1873913110707,23,150.54186095056212,194.92366930763617
212.07721139343673,10.600940531290304,802.1631080252632,309.4529469099933,20,160.62616265658144,212.07721139343673
223.5342738644815,11.173598985617106,678.6762283951352,369.38826976951236,27,164.63208266547684,223.5342738644815
235.4071299045415,11.767047118394672,779.6424203813111,469.5967221595555,12,168.65803437538548,235.4071299045415
250.96685175415817,12.54483854165007,965.0543903755206,489.66955093758315,17,175.85219449986354,250.96685175415817
255.32723898306992,12.76266323387022,927.6398824556026,525.9312730113844,7,171.70167376267293,255.32723898306992
274.3690558586504,13.714559408423812,979.3356309253782,748.2812981607698,21,181.59785544296508,274.3690558586504
286.3506217677787,14.31344303465479,943.9190961992454,887.4014617529328,5,184.03440062650077,286.3506217677787
307.5945342253512,15.375443988307977,692.7424528665005,929.6537701361887,28,195.02516194322817,307.5945342253512
315.316189255874,15.761332070608681,617.1198450624526,982.8149130948844,4,192.23627733188852,315.316189255874
337.7424101118439,16.88244844418174,776.251046208287,766.0641570469354,2,203.40441785079696,337.7424101118439
348.5676476580527,17.42351565226674,737.2437556068195,642.3882349172873,11,202.61073380840395,348.5676476580527
363.83967876854,18.186922538565668,554.225137036693,645.379715749768,8,205.7547756266066,363.83967876854
387.7984258834554,19.384665225086,267.4613747471226,662.6552572957861,3,216.7869085454068,387.7984258834554
400.4434533181416,20.01672192759487,144.9636670373149,573.479445866772,6,216.08382086948825,400.4434533181416
433.0688877164846,21.647798978286577,126.38896496052531,964.3222204553182,14,234.27362567728173,433.0688877164846
441.21805491398203,22.05506266893601,221.53008046254374,985.951344549083,25,227.71552437764637,413.2158358786649
500.20745071923227,25.004337789973082,186.6403407741003,279.1605206777901,0,270.96474579343277,466.9091686546135
