time_s,energy_Wh,E_fly_total,E_hover_total,E_tx_total,uav_x,uav_y,served_node,aoi_avg,aoi_max
9.473888792953058,0.27306016545359124,0.2721938538750381,0.0008459793715636353,2.033220698954346e-05,45.572242817226716,103.87892246077169,21,9.158092499854625,9.473888792953058
22.688597857514722,0.6538354380211008,0.6521028148639945,0.0016919587431272706,4.066441397908692e-05,181.26122306425097,185.46005274010923,10,21.616514969165806,22.688597857514722
29.89282082030991,0.8615416756573776,0.8589427409217181,0.002537938114690906,6.099662096863038e-05,183.9351909141732,271.6182867280379,3,27.82431057128399,29.89282082030991
37.706034772867525,1.086783513758486,1.0833182674442732,0.003383917486254541,8.132882795817384e-05,274.6239760685173,248.8319452650807,23,34.38065669807934,37.706034772867525
56.265825342578665,1.6214678183181208,1.6171362604253547,0.004229896857818176,0.0001016610349477173,309.87777727348885,29.176473755822997,6,51.0649197563712,56.265825342578665
63.61880668663301,1.833457481462176,1.8282596119908567,0.005075876229381811,0.00012199324193726076,224.71558026876093,7.069268916182314,20,56.29727421087111,63.61880668663301
80.6087365904642,2.3229384088206735,2.316874227770801,0.005921855600945446,0.0001423254489268042,45.572242817226716,103.87892246077169,21,70.91604252145193,80.6087365904642
93.82344565502586,2.703713681388183,2.6967831887597575,0.006767834972509081,0.00016265765591634768,181.26122306425097,185.46005274010923,10,81.75958999276322,93.82344565502586
101.02766861782105,2.911419919024459,2.903623114817481,0.0076138143440727165,0.00018298986290589116,183.9351909141732,271.6182867280379,3,86.592651362308,101.02766861782105
108.84088257037867,3.1366617571255673,3.127998641340036,0.008459793715636352,0.00020332206989543463,274.6239760685173,248.8319452650807,23,92.03470372161527,108.84088257037867
130.75337233470916,3.767885410450514,3.75835598308643,0.009305773087199988,0.0002236542768849781,506.7103012851879,125.76017746093638,29,109.58874774145548,130.75337233470916
147.29594380815035,4.244484868572574,4.234089129629936,0.010151752458763624,0.00024398648387452158,588.4955186180059,306.36517804315645,19,121.22145442129164,147.29594380815035
155.74441500957988,4.4880186313423085,4.476756580821117,0.01099773183032726,0.00026431869086406505,646.5291289570322,389.1873847552082,7,124.47844512240185,155.74441500957988
170.4482180382426,4.911671643068578,4.8995432809688335,0.011843711201890896,0.0002846508978536085,777.3558812089736,271.16651482588094,18,133.50064088312314,170.4482180382426
180.8704379750441,5.212038544297308,5.19904387061901,0.012689690573454532,0.000304983104843152,888.3369443089833,214.05121008837202,12,137.89384622075656,180.8704379750441
191.63710226237498,5.522323553699705,5.508462568442853,0.013535669945018168,0.0003253153118326955,899.131498164671,342.5476139230139,24,142.27260709934157,191.63710226237498
198.96055335893683,5.733462907676037,5.718735610840632,0.014381649316581804,0.00034564751882223895,829.1416892346658,395.27828242148723,25,142.96403975060554,198.96055335893683
205.3214869756057,5.916887037204789,5.90129342879083,0.01522762868814544,0.0003659797258117824,882.5571800347619,449.45382261072706,13,142.4809238014209,205.3214869756057
219.07216638634895,6.313095316187228,6.296635396194716,0.016073608059709074,0.0003863119328013259,878.3000410873951,614.1560090106934,27,148.9291976659525,219.07216638634895
225.8426459528785,6.50831212289754,6.490985891326475,0.01691958743127271,0.00040664413979086937,797.7728385500977,622.8466267484065,28,148.1715890340528,225.8426459528785
231.15437423595375,6.661524893235829,6.643332350086211,0.017765566802836343,0.00042697634678041284,749.8282600337342,581.2260814267906,15,145.77817150926293,231.15437423595375
240.32067999968106,6.925728354401613,6.906669499673441,0.018611546174399977,0.0004473085537699563,683.6063863191322,668.7393099944501,2,146.93378793966752,240.32067999968106
254.4652499430027,7.33327852041077,7.313353354104045,0.01945752554596361,0.0004676407607594998,777.3723389573872,809.9226387328804,8,152.59618288488906,254.4652499430027
276.0219381252166,7.954257039581622,7.933465561696343,0.020303504917527245,0.00048797296774904326,577.0634963906424,973.2078831040134,0,164.95213979626246,276.0219381252166
301.872339036289,8.698870936269959,8.677213146806126,0.02114948428909088,0.0005083051747385867,428.06102148347367,701.4181597641904,11,180.74012940612516,301.872339036289
308.7242045321039,8.89643121137865,8.873907110336264,0.021995463660654514,0.0005286373817281301,360.76024988921273,748.2147538775155,5,177.3011880842033,308.7242045321039
324.64774280429344,9.35520590842198,9.33181549580104,0.022841443032218148,0.0005489695887176735,197.0194406646276,846.2229650173126,17,182.4031349295831,324.64774280429344
331.2645024617346,9.545996424834767,9.521739700635274,0.023687422403781782,0.0005693017957072169,234.58446430590962,915.890867007551,14,177.97774450496632,331.2645024617346
347.06105468052397,10.001114620001276,9.97599158422323,0.024533401775345416,0.0005896340026967604,89.71616427143047,794.0279554023678,1,182.20559490107158,347.06105468052397
350.05100850284555,10.087473019753379,10.061483672396779,0.02537938114690905,0.0006099662096863038,87.01431901816458,758.50206042794,22,173.52718177329828,350.05100850284555
378.2108438056501,10.898585960719782,10.871730301784629,0.026225360518472685,0.0006302984166758472,324.3888083153068,518.3512757852724,4,189.07998894924773,378.2108438056501
401.0713558378788,11.557107455886547,11.52938548537284,0.02707133989003632,0.0006506306236653906,274.6239760685173,248.8319452650807,23,202.19948520589318,401.0713558378788
408.88456979043644,11.782349293987656,11.753761011895396,0.027917319261599953,0.000670962830654934,183.9351909141732,271.6182867280379,3,199.75080245269692,408.88456979043644
416.08879275323164,11.990055531623932,11.960600937953119,0.028763298633163587,0.0006912950376444775,181.26122306425097,185.46005274010923,10,196.21284717888526,416.08879275323164
429.30350181779335,12.370830804191442,12.340509898942075,0.02960927800472722,0.0007116272446340209,45.572242817226716,103.87892246077169,21,197.80439740253593,429.30350181779335
