time_s,energy_Wh,uav_x,uav_y,served_node,aoi_avg,aoi_max
94.30433083890513,4.715022074828049,577.0634963906424,973.2078831040134,0,91.16085314427497,94.30433083890513
115.85852909450729,5.792537520490949,777.3723389573872,809.9226387328804,8,108.85310043006027,115.85852909450729
130.0006091112172,6.499447054209237,683.6063863191322,668.7393099944501,2,118.66182680972955,130.0006091112172
139.1644249483328,6.95744337894781,749.8282600337342,581.2260814267906,15,123.18682848190072,139.1644249483328
144.4736633047963,7.222710829653777,797.7728385500977,622.8466267484065,28,123.68027806153769,144.4736633047963
151.24165294471413,7.560915844532461,878.3000410873951,614.1560090106934,27,125.40687926996502,151.24165294471413
164.98984242884566,8.24813085162183,882.5571800347619,449.45382261072706,13,133.6554073398017,164.98984242884566
171.3482861189028,8.56585856900748,829.1416892346658,395.27828242148723,25,134.30224149256205,171.3482861189028
178.66924728885292,8.931712160387779,899.131498164671,342.5476139230139,24,135.6675610862171,178.66924728885292
189.43342164957207,9.469726411306528,888.3369443089833,214.05121008837202,12,140.1172880586172,189.43342164957207
199.85315165976183,9.99051844469881,777.3558812089736,271.16651482588094,18,143.87524634681492,199.85315165976183
214.34941839064538,10.71513731412578,763.7350869098432,97.9671521361286,16,151.22653246467692,214.34941839064538
216.19521402728884,10.807232628840746,777.9958660173808,81.30918280792099,26,145.8658209670774,216.19521402728884
232.2295377043736,11.608754345577776,968.4283112516629,107.24737096090509,9,154.15916005401638,232.2295377043736
243.37278522039063,12.16572225426142,888.3369443089833,214.05121008837202,12,163.50442878433944,243.37278522039063
268.27199351629486,13.410488201939424,646.5291289570322,389.1873847552082,7,179.46123729636716,268.27199351629486
276.7179747911127,13.832592798563107,588.4955186180059,306.36517804315645,19,178.6832860781479,276.7179747911127
293.25805633794215,14.659402408787374,506.7103012851879,125.76017746093638,29,185.4480990803793,293.25805633794215
311.5474823560941,15.573679242577764,309.87777727348885,29.176473755822997,6,193.35260901999482,311.5474823560941
318.8979737735367,15.941009346332686,224.71558026876093,7.069268916182314,20,190.0731679783195,318.8979737735367
334.216985405376,16.706765460807446,181.26122306425097,185.46005274010923,10,194.25161342997959,334.216985405376
341.41871844155946,17.06665764549941,183.9351909141732,271.6182867280379,3,190.072722518111,341.41871844155946
349.22944246750535,17.456999379679498,274.6239760685173,248.8319452650807,23,186.2424651284734,349.22944246750535
371.83659124288977,18.587162351331514,45.572242817226716,103.87892246077169,21,196.45506086242816,371.83659124288977
413.48216310893946,20.669246477516793,324.3888083153068,518.3512757852724,4,224.31789395817992,413.48216310893946
431.03258320743834,21.546573015324533,428.06102148347367,701.4181597641904,11,227.5005612830975,431.03258320743834
437.88195877664145,21.888847326667484,360.76024988921273,748.2147538775155,5,219.75387155974596,437.88195877664145
453.80300712221924,22.68470527682917,197.0194406646276,846.2229650173126,17,220.54815300124977,453.80300712221924
460.41727685304863,23.015224296253432,234.58446430590962,915.890867007551,14,211.81518017031084,460.41727685304863
476.2113391452262,23.804732943745105,89.71616427143047,794.0279554023678,1,211.73553115764756,476.2113391452262
479.198803040936,23.95391167141339,87.01431901816458,758.50206042794,22,198.74970161865951,384.8944722020308
523.8022563131558,26.183889867907176,577.0634963906424,973.2078831040134,0,229.03655737507094,407.9437272186484
545.3564545687578,27.26140531357008,777.3723389573872,809.9226387328804,8,236.2741581148648,415.3558454575407
559.4985345854677,27.96831484728837,683.6063863191322,668.7393099944501,2,236.09964061576633,420.33410963713493
568.6623504225832,28.426311172026942,749.8282600337342,581.2260814267906,15,230.9468589370735,424.1886871177871
573.9715887790467,28.691578622732912,797.7728385500977,622.8466267484065,28,221.93949977772866,422.72993583433276
580.7395784189645,29.029783637611597,878.3000410873951,614.1560090106934,27,214.3908919018381,415.749735990119
594.4877679030959,29.71699864470097,882.5571800347619,449.45382261072706,13,213.82248387016134,423.13948178419344
600.8462115931529,30.03472636208662,829.1416892346658,395.27828242148723,25,205.8643300444101,422.17696430430044
608.1671727631029,30.40057995346692,899.131498164671,342.5476139230139,24,198.8686936985519,408.3140211033417
618.931347123822,30.938594204385673,888.3369443089833,214.05121008837202,12,197.11424932915665,419.07819546406085
629.3510771340117,31.459386237777956,777.3558812089736,271.16651482588094,18,193.217381823538,415.00165874336705
643.8473438648952,32.184005107204925,763.7350869098432,97.9671521361286,16,193.39705103861328,427.6521298376072
645.6931395015386,32.27610042191989,777.9958660173808,81.30918280792099,26,180.92624915944836,413.46360179716595
661.7274631786232,33.07762213865693,968.4283112516629,107.24737096090509,9,182.6439753207247,393.45546966232945
697.4052757205286,34.861318298635,646.5291289570322,389.1873847552082,7,204.0173451224891,420.6873009294171
705.8512569953464,35.28342289525868,588.4955186180059,306.36517804315645,19,198.15888365716566,412.5932006574055
722.3913385421758,36.11023250548295,506.7103012851879,125.76017746093638,29,200.39452246385403,410.8438561860829
740.6807645603277,37.024509339273344,309.87777727348885,29.176473755822997,6,204.37950574186482,421.78279078679236
748.0312559777702,37.39183944302827,224.71558026876093,7.069268916182314,20,197.42555441916622,413.8142705723957
763.3502676096094,38.15759555750303,181.26122306425097,185.46005274010923,10,198.44012331086438,421.9315491680515
770.5520006457929,38.517487742194994,183.9351909141732,271.6182867280379,3,191.33741360690664,421.32255817828906
778.3627246717386,38.907829476375085,274.6239760685173,248.8319452650807,23,184.8436948927114,406.5261334288505
800.9698734471231,40.037992448027104,45.572242817226716,103.87892246077169,21,193.14640092795466,387.4877103381852
842.6154453131727,42.12007657421238,324.3888083153068,518.3512757852724,4,220.4875300538632,411.58286210573607
860.1658654116716,42.99740311202012,428.06102148347367,701.4181597641904,11,223.73350741222094,422.28390663503177
867.0152409808746,43.33967742336307,360.76024988921273,748.2147538775155,5,216.27844024128282,413.2122338586571
882.9362893264524,44.13553537352475,197.0194406646276,846.2229650173126,17,217.89504584671948,422.5190124734055
889.5505590572817,44.46605439294902,234.58446430590962,915.890867007551,14,210.20487283740775,413.3392199120573
905.3446213494592,45.25556304044069,89.71616427143047,794.0279554023678,1,211.6944923894441,426.14581830852507
908.332085245169,45.40474176810898,87.01431901816458,758.50206042794,22,200.3775135450128,384.529828932015
952.9355385173887,47.63471996460276,577.0634963906424,973.2078831040134,0,230.67652407709141,407.5790839486326
974.4897367729908,48.71223541026566,777.3723389573872,809.9226387328804,8,237.92627959255242,414.9912021875249
988.6318167897007,49.41914494398395,683.6063863191322,668.7393099944501,2,237.76391686912112,419.96946636711925
997.7956326268162,49.877141268722525,749.8282600337342,581.2260814267906,15,232.6232899660956,423.8240438477713
1003.1048709832796,50.142408719428495,797.7728385500977,622.8466267484065,28,223.6280855824179,422.365292564317
1009.8728606231974,50.480613734307184,878.3000410873951,614.1560090106934,27,216.09163248219457,415.3850927201032
1023.6210501073289,51.167828741396555,882.5571800347619,449.45382261072706,13,215.53537922618492,422.77483851417765
1029.9794937973859,51.485556458782206,829.1416892346658,395.27828242148723,25,207.58938017610086,421.81232103428476
1037.300454967336,51.85141005016251,899.131498164671,342.5476139230139,24,200.60589860590986,418.36910784351574
