alpha,avg_aoi,energy_norm,beta,gamma
0.0,165.58390225978752,0.9984962242804262,0.8,1.6
0.25,168.63813633572946,0.9963975198706028,1.0,1.35
0.5,171.98005005312942,0.9839206529358663,1.2000000000000002,1.1
0.75,185.32847871988332,0.9948071294656972,1.4000000000000001,0.8500000000000001
1.0,175.63294852255,0.9883025459896666,1.6,0.6000000000000001
