time_s,energy_Wh,E_fly_total,E_hover_total,E_tx_total,uav_x,uav_y,served_node,aoi_avg,aoi_max
94.30538702654309,2.7157239443462897,2.7149170243958936,0.0007879816562980086,1.893829409835587e-05,577.0634963906424,973.2078831040134,0,91.16187412565831,94.30538702654309
115.8606414697832,3.3366430718889837,3.3350292319881913,0.001575963312596017,3.787658819671174e-05,777.3723389573872,809.9226387328804,8,108.85510718657237,115.8606414697832
130.00377767413104,3.744133846269983,3.7417130864187946,0.0023639449688940255,5.6814882295067615e-05,683.6063863191322,668.7393099944501,2,118.6647841351158,130.00377767413104
139.1686496988846,4.008277915807611,4.005050236006025,0.003151926625192034,7.575317639342349e-05,749.8282600337342,581.2260814267906,15,123.19070116990653,139.1686496988846
144.47894424298605,4.161431294517743,4.157396694765761,0.003939908281490043,9.469147049177936e-05,797.7728385500977,622.8466267484065,28,123.68503090590845,144.47894424298605
151.24799007054182,4.356588709599898,4.3517471898975195,0.004727889937788051,0.00011362976459013523,878.3000410873951,614.1560090106934,27,125.41247706444612,151.24799007054182
164.9972357423113,4.752737596954181,4.747089157301406,0.005515871594086059,0.0001325680586884911,882.5571800347619,449.45382261072706,13,133.66181487813859,164.9972357423113
171.35673562000636,4.936102334854776,4.929646975251604,0.0063038532503840675,0.00015150635278684697,829.1416892346658,395.27828242148723,25,134.30942356850014,171.35673562000636
178.67875297759443,5.147182297202951,5.1399200176493824,0.007091834906682076,0.00017044464688520286,899.131498164671,342.5476139230139,24,135.6754824935017,178.67875297759443
189.44398352595152,5.457407914977191,5.449338715473226,0.007879816562980084,0.00018938294098355874,888.3369443089833,214.05121008837202,12,140.12591359099372,189.44398352595152
200.5882872296065,5.778548760579087,5.769672641124725,0.008667798219278093,0.00020832123508191463,968.4283112516629,107.24737096090509,9,144.58394105366182,200.5882872296065
216.6236670943292,6.240525774277664,6.230842734872906,0.009455779875576102,0.0002272595291802705,777.9958660173808,81.30918280792099,26,153.39853201524022,216.6236670943292
218.4705189186106,6.2939509980748864,6.283461038719731,0.010243761531874111,0.0002461978232786264,763.7350869098432,97.9671521361286,16,147.96303320890127,218.4705189186106
232.96784183713208,6.711640407270046,6.7003435279644945,0.01103174318817212,0.0002651361173769823,777.3558812089736,271.16651482588094,18,154.6947613995184,232.96784183713208
247.67021112682102,7.135234027368159,7.123130228112211,0.01181972484447013,0.00028407441147533817,646.5291289570322,389.1873847552082,7,161.14145698497995,247.67021112682102
256.1172485892768,7.378708398509736,7.365797679303391,0.012607706500768139,0.00030301270557369405,588.4955186180059,306.36517804315645,19,161.05125282779315,256.1172485892768
272.65838632374425,7.855248465003639,7.841530825846897,0.013395688157066148,0.00032195099967204994,506.7103012851879,125.76017746093638,29,168.50377768480246,272.65838632374425
290.9488685295342,8.382160057907873,8.367635498800736,0.014183669813364157,0.0003408892937704058,309.87777727348885,29.176473755822997,6,177.09596427294125,290.9488685295342
298.30041613461475,8.594090329423771,8.578758850366238,0.014971651469662166,0.0003598275878687617,224.71558026876093,7.069268916182314,20,174.5041646735347,298.30041613461475
315.2889122994722,9.083511865154112,9.067373466146183,0.015759633125960175,0.0003787658819671176,45.572242817226716,103.87892246077169,21,180.98303042840965,315.2889122994722
328.5021876250601,9.464227746093464,9.44728242713514,0.016547614782258184,0.0003977041760654735,181.26122306425097,185.46005274010923,10,183.24623283316217,328.5021876250601
335.70497684888153,9.671874592101583,9.654122353192863,0.017335596438556193,0.00041664247016382936,183.9351909141732,271.6182867280379,3,179.25885616202086,335.70497684888153
343.5167570624654,9.897057038574534,9.878497879715418,0.018123578094854202,0.00043558076426218525,274.6239760685173,248.8319452650807,23,175.62007780685582,343.5167570624654
366.3758353557203,10.555519142113141,10.53615306330363,0.01891155975115221,0.00045451905836054113,324.3888083153068,518.3512757852724,4,186.2666282549201,366.3758353557203
383.92731164185716,11.06115141764482,11.040978418884913,0.01969954140745022,0.000473457352458897,428.06102148347367,701.4181597641904,11,191.02052748632838,383.92731164185716
390.77774339869825,11.258652301125354,11.23767238241505,0.02048752306374823,0.0004923956465572529,360.76024988921273,748.2147538775155,5,184.84503446321284,390.77774339869825
408.284441885992,11.762995221636338,11.741208382975639,0.02127550472004624,0.0005113339406556087,234.58446430590962,915.890867007551,14,188.74225155430682,408.284441885992
414.8997678044594,11.953726346420968,11.931132587809874,0.022063486376344248,0.0005302722347539646,197.0194406646276,846.2229650173126,17,181.52758521262552,414.8997678044594
424.8629470942244,12.240857286836397,12.217456608274906,0.022851468032642257,0.0005492105288523204,89.71616427143047,794.0279554023678,1,177.32866626591638,424.8629470942244
427.8514671775722,12.327156294960341,12.302948696448455,0.023639449688940266,0.0005681488229506762,87.01431901816458,758.50206042794,22,166.05547077667836,333.5460801510289
472.45597663742996,13.611767552235685,13.586753033773403,0.024427431345238275,0.0005870871170490321,577.0634963906424,973.2078831040134,0,198.05496058283995,356.5953351676465
494.0112310806701,14.232686679778379,14.206865241365701,0.025215413001536284,0.0006060254111473879,777.3723389573872,809.9226387328804,8,207.00519537238384,364.0074534065388
508.15436728501794,14.640177454159378,14.613549095796305,0.026003394657834293,0.0006249637052457437,683.6063863191322,668.7393099944501,2,208.54331192303547,368.98571758613303
517.3192393097715,14.904321523697005,14.876886245383536,0.026791376314132302,0.0006439019993440996,749.8282600337342,581.2260814267906,15,205.1031642940928,372.8402950667852
522.629533853873,15.057474902407137,15.029232704143272,0.02757935797043031,0.0006628402934424554,797.7728385500977,622.8466267484065,28,197.80843918449804,371.38154378333087
