time_s,energy_Wh,uav_x,uav_y,served_node,aoi_avg,aoi_max
94.30433083890513,4.715022074828049,577.0634963906424,973.2078831040134,0,91.16085314427497,94.30433083890513
137.5929699807434,6.879259564802754,89.71616427143047,794.0279554023678,1,129.86305995342178,137.5929699807434
188.1915578618678,9.408994491741767,683.6063863191322,668.7393099944501,2,174.18859590581735,188.1915578618678
241.39835245742114,12.069139754402226,183.9351909141732,271.6182867280379,3,219.3487787527899,241.39835245742114
265.0758687141023,13.252821100119075,324.3888083153068,518.3512757852724,4,234.190432719001,265.0758687141023
284.48789415349586,14.223227904971544,360.76024988921273,748.2147538775155,5,244.11952835327804,284.48789415349586
344.57601496881705,17.227439478620397,309.87777727348885,29.176473755822997,6,292.7217820029719,344.57601496881705
385.66872627347124,19.2818805767359,646.5291289570322,389.1873847552082,7,320.9588690985103,385.66872627347124
422.40473717838154,21.11848665486421,777.3723389573872,809.9226387328804,8,343.61472209747467,422.40473717838154
483.105330815938,24.153321869624826,968.4283112516629,107.24737096090509,9,388.211804707833,483.105330815938
549.0440156292177,27.45006164317161,181.26122306425097,185.46005274010923,10,435.8490223334722,549.0440156292177
596.7246551651432,29.833899152850677,428.06102148347367,701.4181597641904,11,463.63884003055955,596.7246551651432
652.6062836066126,32.62778610780694,888.3369443089833,214.05121008837202,12,497.7669256851419,652.6062836066126
672.2475031550562,33.60965261811192,882.5571800347619,449.45382261072706,13,494.9998951284172,672.2475031550562
738.7987167631268,36.937018831398255,234.58446430590962,915.890867007551,14,536.9244848443836,738.7987167631268
790.0164161998968,39.49770933611955,749.8282600337342,581.2260814267906,15,561.8083037411569,790.0164161998968
830.3230883569454,41.51284847685478,763.7350869098432,97.9671521361286,16,574.4375396196408,830.3230883569454
908.5618815782398,45.424593670802295,197.0194406646276,846.2229650173126,17,622.3909367883273,908.5618815782398
976.663194675907,48.82946485856846,777.3558812089736,271.16651482588094,18,657.9368100634642,976.663194675907
992.6909863252056,49.63065997391619,588.4955186180059,306.36517804315645,19,640.8749021685892,992.6909863252056
1031.9658566931594,51.594209025196676,224.71558026876093,7.069268916182314,20,645.7509106467713,1031.9658566931594
1048.9532966703787,52.443386556940446,45.572242817226716,103.87892246077169,21,627.7732407349779,1048.9532966703787
1103.6328538924222,55.177169950925425,87.01431901816458,758.50206042794,22,645.6650361606075,1103.6328538924222
1148.9098712514478,57.440826351759505,274.6239760685173,248.8319452650807,23,652.6450578112514,1148.9098712514478
