time_s,energy_Wh,uav_x,uav_y,served_node,aoi_avg,aoi_max
94.30619228599038,4.71509549857419,577.0634963906424,973.2078831040134,0,91.162652543124,94.30619228599038
115.86225198867778,5.792684367983231,777.3723389573872,809.9226387328804,8,108.85663717952214,115.86225198867778
130.00619345247293,6.49966732544766,683.6063863191322,668.7393099944501,2,118.66703886156822,130.00619345247293
139.17187073667375,6.957737073932373,749.8282600337342,581.2260814267906,15,123.19365378787988,139.17187073667375
144.4829705402225,7.223077948384481,797.7728385500977,622.8466267484065,28,123.68865457342129,144.4829705402225
151.2528216272256,7.561356387009306,878.3000410873951,614.1560090106934,27,125.41674493951686,151.2528216272256
165.00287255844236,8.248644817844816,882.5571800347619,449.45382261072706,13,133.66670011878554,165.00287255844236
171.36317769558474,8.566445958976606,829.1416892346658,395.27828242148723,25,134.31489933274176,171.36317769558474
178.6860003126201,8.932372974103046,899.131498164671,342.5476139230139,24,135.68152193935646,178.6860003126201
189.4520361204245,9.470460648767936,888.3369443089833,214.05121008837202,12,140.13248987648,189.4520361204245
199.87362757769952,9.991326105906358,777.3558812089736,271.16651482588094,18,143.891627081165,199.87362757769952
214.37175575566832,10.71601839907947,763.7350869098432,97.9671521361286,16,151.2440300672782,214.37175575566832
216.21941283939702,10.808187137540576,777.9958660173808,81.30918280792099,26,145.88437338969368,216.21941283939702
232.25559796356703,11.609782278023747,968.4283112516629,107.24737096090509,9,154.17870524841146,232.25559796356703
267.93527195255774,13.393551861747955,646.5291289570322,389.1873847552082,7,180.92720350565025,267.93527195255774
276.3831146744608,13.815729882117779,588.4955186180059,306.36517804315645,19,180.16227573840453,276.3831146744608
292.9250576683755,14.642612916088186,506.7103012851879,125.76017746093638,29,186.94005014337344,292.9250576683755
311.21634513361266,15.556963173624718,309.87777727348885,29.176473755822997,6,194.85745943749026,311.21634513361266
318.56869799814046,15.92436670112578,224.71558026876093,7.069268916182314,20,191.5908557020801,318.56869799814046
333.889571077065,16.690196239346676,181.26122306425097,185.46005274010923,10,195.7820764117691,333.889571077065
341.09316556033366,17.05016184778478,183.9351909141732,271.6182867280379,3,191.61589870969334,341.09316556033366
348.90575103336477,17.440577005711003,274.6239760685173,248.8319452650807,23,187.79829248161232,348.90575103336477
371.5147612558344,18.570813401109156,45.572242817226716,103.87892246077169,21,198.02347732888745,371.5147612558344
413.1621945689693,20.652970951040572,324.3888083153068,518.3512757852724,4,225.89883748972343,413.1621945689693
430.7144761145534,21.53037091259445,428.06102148347367,701.4181597641904,11,229.09396983148915,430.7144761145534
437.56571313084174,21.872718647683538,360.76024988921273,748.2147538775155,5,221.3596830767494,437.56571313084174
453.48862292350475,22.66865002159136,197.0194406646276,846.2229650173126,17,222.16630543862897,453.48862292350475
460.10475410141936,22.99924246476176,234.58446430590962,915.890867007551,14,213.44561147982955,460.10475410141936
475.9006778406822,23.78882453599957,89.71616427143047,794.0279554023678,1,213.3781792910696,475.9006778406822
478.89000318347723,23.938076687413993,87.01431901816458,758.50206042794,22,200.40450452774883,384.58381089748707
523.4953179027823,26.168128307653916,577.0634963906424,973.2078831040134,0,230.70351505982745,407.63306591410463
545.0513776054696,27.245717177062957,777.3723389573872,809.9226387328804,8,237.95327057528843,415.04518415299685
559.1953190692648,27.952700134527383,683.6063863191322,668.7393099944501,2,237.79090785185716,420.02344833259116
568.3609963534656,28.410769883012094,749.8282600337342,581.2260814267906,15,232.65028094883158,423.87802581324314
