time_s,energy_Wh,uav_x,uav_y,served_node,aoi_avg,aoi_max
9.47349114098671,0.4734580048108716,45.572242817226716,103.87892246077169,21,9.15770810295382,9.47349114098671
22.687802553582017,1.1339570232021732,181.26122306425097,185.46005274010923,10,21.615759430429737,22.687802553582017
29.891627864410854,1.4939317365051512,183.9351909141732,271.6182867280379,3,27.823197145778213,29.891627864410854
37.704444165002116,1.8843559992962506,274.6239760685173,248.8319452650807,23,34.37919864086939,37.704444165002116
56.2638370827469,2.812109092945026,309.87777727348885,29.176473755822997,6,51.06313032252262,56.2638370827469
63.61642077483489,3.1795217253109618,224.71558026876093,7.069268916182314,20,56.29516665544946,63.61642077483489
80.60595302669974,4.02878178566574,45.572242817226716,103.87892246077169,21,70.9136168444572,80.60595302669974
93.82026443929504,4.6892808040570415,181.26122306425097,185.46005274010923,10,81.75684619419538,93.82026443929504
101.02408975012388,5.049255517360019,183.9351909141732,271.6182867280379,3,86.58958944216714,101.02408975012388
108.83690605071514,5.439679780151119,274.6239760685173,248.8319452650807,23,92.03132367990132,108.83690605071514
130.7489981630793,6.535067833530863,506.7103012851879,125.76017746093638,29,109.58511585349613,130.7489981630793
147.29117198455418,7.361959972366142,588.4955186180059,306.36517804315645,19,121.21758394215256,147.29117198455418
155.73924553401739,7.784147097600838,646.5291289570322,389.1873847552082,7,124.47434930714849,155.73924553401739
170.44265091071378,8.519100814197193,777.3558812089736,271.16651482588094,18,133.4963329868211,170.44265091071378
180.86447319554895,9.039975376200488,888.3369443089833,214.05121008837202,12,137.88933949847132,180.86447319554895
191.6307398309135,9.57807215573025,899.131498164671,342.5476139230139,24,142.26791480613875,191.6307398309135
198.95379327550904,9.944008275721563,829.1416892346658,395.27828242148723,25,142.95917514155065,198.95379327550904
205.31432924021158,10.261818521718226,882.5571800347619,449.45382261072706,13,142.4759001315794,205.31432924021158
219.0646109989885,10.949116057418609,878.3000410873951,614.1560090106934,27,148.92402819039006,219.0646109989885
225.83469291355175,11.287403600908306,797.7728385500977,622.8466267484065,28,148.1662870078349,225.83469291355175
231.14602354466066,11.552753580225287,749.8282600337342,581.2260814267906,15,145.7727501874551,231.14602354466066
240.31193165642168,12.010832433574873,683.6063863191322,668.7393099944501,2,146.9282605773354,240.31193165642168
254.45610394777697,12.717824495904173,777.3723389573872,809.9226387328804,8,152.5905627370981,254.45610394777697
276.01239447802453,13.795422470178087,577.0634963906424,973.2078831040134,0,164.94644011807816,276.01239447802453
301.8623977371306,15.087706080894927,428.06102148347367,701.4181597641904,11,180.73436345261328,301.8623977371306
308.71386558097913,15.430062920848888,360.76024988921273,748.2147538775155,5,177.29536911042914,308.71386558097913
324.6370062012023,16.226003399621582,197.0194406646276,846.2229650173126,17,182.39727619061225,324.6370062012023
331.2533682066771,16.556604947656854,234.58446430590962,915.890867007551,14,177.97185925586447,331.2533682066771
347.0495227735001,17.346196123759537,89.71616427143047,794.0279554023678,1,182.19969639690413,347.0495227735001
350.0390789438553,17.495457380038832,87.01431901816458,758.50206042794,22,173.52128326913086,350.0390789438553
378.1985165946935,18.903212710342277,324.3888083153068,518.3512757852724,4,189.07410370014594,378.1985165946935
401.05863097495586,20.04600187711693,274.6239760685173,248.8319452650807,23,202.19349391626693,401.05863097495586
408.87144727554715,20.436426139908026,183.9351909141732,271.6182867280379,3,199.74473163267746,408.87144727554715
416.075272586376,20.796400853211,181.26122306425097,185.46005274010923,10,196.20672333860355,416.075272586376
429.28958399897135,21.4568998716023,45.572242817226716,103.87892246077169,21,197.7982470521232,429.28958399897135
446.27911625083624,22.306159931957076,224.71558026876093,7.069268916182314,20,202.03235612145468,446.27911625083624
453.63169994292423,22.67357256432301,309.87777727348885,29.176473755822997,6,196.1393443848701,453.63169994292423
471.9232182357216,23.587931926724412,506.7103012851879,125.76017746093638,29,203.05838867524608,471.9232182357216
493.4873252887241,24.665920727136072,763.7350869098432,97.9671521361286,16,208.1729182186244,493.4873252887241
495.33521320001296,24.75809857046205,777.9958660173808,81.30918280792099,26,193.50963235657952,495.33521320001296
511.3716291517431,25.55970281581009,968.4283112516629,107.24737096090509,9,192.50032733658492,364.08045716718874
522.5169689424055,26.116753253104747,888.3369443089833,214.05121008837202,12,192.25725060235212,375.2257969578512
532.9387912272406,26.63762781510804,777.3558812089736,271.16651482588094,18,190.59586820996972,385.64761924268635
544.1661686779389,27.198780135404494,829.1416892346658,395.27828242148723,25,190.3161664805871,396.87499669338473
550.5267046426413,27.516590381401155,882.5571800347619,449.45382261072706,13,185.16962326520868,403.23553265808727
559.5625024659463,27.96816372032794,899.131498164671,342.5476139230139,24,181.94102900067926,412.2713304813923
580.9890180658408,29.039272948084204,646.5291289570322,389.1873847552082,7,189.19255218284636,433.69784608128685
589.437091615304,29.461460073318896,588.4955186180059,306.36517804315645,19,182.90242841128455,370.3724806163158
616.0168659988809,30.79023224025928,749.8282600337342,581.2260814267906,15,196.6531747130542,396.9522549998928
621.3281966299897,31.05558221957626,797.7728385500977,622.8466267484065,28,188.7813885536151,402.26358563100166
628.098278544553,31.393869763065954,878.3000410873951,614.1560090106934,27,181.91701488332617,387.7863468881318
644.9688179138626,32.23718017929298,683.6063863191322,668.7393099944501,2,185.29899137738792,390.51271396608627
659.1129902052179,32.944172241622276,777.3723389573872,809.9226387328804,8,185.95460079349513,383.100595727194
680.6692807354653,34.02177021589619,577.0634963906424,973.2078831040134,0,194.02232844849462,378.8068829983355
706.5192839945714,35.314053826613026,428.06102148347367,701.4181597641904,11,206.3837688323527,397.8054184135931
713.3707518384199,35.656410666566984,360.76024988921273,748.2147538775155,5,199.74667380095315,388.73374563721836
729.2938924586431,36.45235114533968,197.0194406646276,846.2229650173126,17,202.18125154592826,398.04052425196676
735.9102544641178,36.78295269337495,234.58446430590962,915.890867007551,14,195.30905067615498,388.8607316906185
751.7064090309407,37.572543869477634,89.71616427143047,794.0279554023678,1,197.61664236772995,401.6673300870863
754.6959652012958,37.72180512575693,87.01431901816458,758.50206042794,22,187.11763566283713,376.49744860660337
782.855402852134,39.129560456060375,324.3888083153068,518.3512757852724,4,201.78851043842727,381.79677187717914
805.7155172323963,40.27234962283503,274.6239760685173,248.8319452650807,23,211.1600619434416,396.8440699568502
813.5283335329875,40.66277388562613,183.9351909141732,271.6182867280379,3,205.48431536878482,397.45306094661277
820.7321588438164,41.022748598929105,181.26122306425097,185.46005274010923,10,199.1995778043656,391.4425748448462
833.9464702564117,41.683247617320404,45.572242817226716,103.87892246077169,21,198.92532634171286,387.6673540055767
850.9360025082765,42.532507677675184,224.71558026876093,7.069268916182314,20,202.4262957183297,397.30430256535357
858.2885862003644,42.89992031004112,309.87777727348885,29.176473755822997,6,196.29031653516964,386.3653679646443
876.5801044931617,43.814279672442524,506.7103012851879,125.76017746093638,29,201.09327195271896,383.0927792044391
898.1442115461641,44.892268472854184,763.7350869098432,97.9671521361286,16,209.1688161304734,402.8089983461527
899.9920994574529,44.98444631618016,777.9958660173808,81.30918280792099,26,197.52814116651422,388.6204703057115
914.3971164700841,45.704480614573264,888.3369443089833,214.05121008837202,12,198.8704865948895,403.0254873183428
924.8189387549193,46.22535517657656,777.3558812089736,271.16651482588094,18,196.22963729546873,413.447309603178
936.0463162056176,46.786507496873014,829.1416892346658,395.27828242148723,25,194.39434316191105,424.67468705387637
942.40685217032,47.104317742869675,882.5571800347619,449.45382261072706,13,187.69220754235758,431.0352230185789
951.442649993625,47.55589108179646,899.131498164671,342.5476139230139,24,183.6653337814066,440.0710208418839
971.9041803113636,48.57875104544493,968.4283112516629,107.24737096090509,9,188.77577906049117,390.9151622455244
1007.5840851279144,50.36252973403401,646.5291289570322,389.1873847552082,7,210.23584830830623,418.14699351261214
1016.0321586773775,50.784716859268705,588.4955186180059,306.36517804315645,19,204.4640862890336,400.0152926784983
