time_s,energy_Wh,uav_x,uav_y,served_node,aoi_avg,aoi_max
9.470528464412288,0.47334114367932495,45.572242817226716,103.87892246077169,21,9.154844182265212,9.470528464412288
22.681877200433178,1.13372330093908,181.26122306425097,185.46005274010923,10,21.61013034493833,22.681877200433178
29.882739834687595,1.4935811531105112,183.9351909141732,271.6182867280379,3,27.814901651369837,29.882739834687595
37.69259345870444,1.883888554770064,274.6239760685173,248.8319452650807,23,34.36833549342985,37.69259345870444
56.249023699874805,2.8115247872872926,309.87777727348885,29.176473755822997,6,51.04979827793774,56.249023699874805
63.598644715388374,3.1788205585216818,224.71558026876093,7.069268916182314,20,56.27946446960503,63.598644715388374
80.58521429067882,4.0279637577449146,45.572242817226716,103.87892246077169,21,70.89554451735324,80.58521429067882
93.79656302669972,4.68834591500467,181.26122306425097,185.46005274010923,10,81.73640372583195,93.79656302669972
100.99742566095414,5.048203767176102,183.9351909141732,271.6182867280379,3,86.56677683254408,100.99742566095414
108.80727928497099,5.438511168835656,274.6239760685173,248.8319452650807,23,92.0061409290188,108.80727928497099
130.7164087207607,6.533782361083853,506.7103012851879,125.76017746093638,29,109.55805674078312,130.7164087207607
147.25561986566115,7.360557638787586,588.4955186180059,306.36517804315645,19,121.18874722349486,147.25561986566115
155.7007307385499,7.782627902890736,646.5291289570322,389.1873847552082,7,124.44383373843193,155.7007307385499
170.40117343867186,8.517464758355546,777.3558812089736,271.16651482588094,18,133.4642373239315,170.40117343867186
180.8200330469326,9.038222459227294,888.3369443089833,214.05121008837202,12,137.8557624972945,180.8200330469326
191.5833370057227,9.57620237762551,899.131498164671,342.5476139230139,24,142.23295522256055,191.5833370057227
198.9034277737438,9.942021636485276,829.1416892346658,395.27828242148723,25,142.92293173145683,198.9034277737438
205.2610010618719,10.259715021350392,882.5571800347619,449.45382261072706,13,142.4384716508559,205.2610010618719
219.0083201440744,10.946895695919228,878.3000410873951,614.1560090106934,27,148.88551339492258,219.0083201440744
225.77543938206318,11.285066378277378,797.7728385500977,622.8466267484065,28,148.12678465350922,225.77543938206318
231.08380733659766,11.550299496462813,749.8282600337342,581.2260814267906,15,145.73235903015714,231.08380733659766
240.2467527717842,12.008261488680851,683.6063863191322,668.7393099944501,2,146.88707937295084,240.2467527717842
254.38796238656505,12.715136689878605,777.3723389573872,809.9226387328804,8,152.54869024151287,254.38796238656505
275.9412902402382,13.792617803020972,577.0634963906424,973.2078831040134,0,164.90397508717808,275.9412902402382
301.7883308227698,15.084784552606266,428.06102148347367,701.4181597641904,11,180.6914046422841,301.7883308227698
308.6368359900439,15.42702453142868,360.76024988921273,748.2147538775155,5,177.2520152765567,308.6368359900439
324.55701393369264,16.22284814906983,197.0194406646276,846.2229650173126,17,182.35362608908235,324.55701393369264
331.170413262593,16.553332835973556,234.58446430590962,915.890867007551,14,177.92801164256292,331.170413262593
346.9636051528415,17.342807150944694,89.71616427143047,794.0279554023678,1,182.15575002771678,346.9636051528415
349.9501986466223,17.491951546092444,87.01431901816458,758.50206042794,22,173.4773368999435,349.9501986466223
378.10667362088606,18.899590015264344,324.3888083153068,518.3512757852724,4,189.03025608684436,378.10667362088606
400.963825324574,20.04226232090745,274.6239760685173,248.8319452650807,23,202.14885625587888,400.963825324574
408.7736789485908,20.432569722567003,183.9351909141732,271.6182867280379,3,199.69950143697446,408.7736789485908
415.97454158284523,20.792427574738433,181.26122306425097,185.46005274010923,10,196.1610981193574,415.97454158284523
429.18589031886614,21.452809731998187,45.572242817226716,103.87892246077169,21,197.75242432110537,429.18589031886614
446.1724598941566,22.301952931221418,224.71558026876093,7.069268916182314,20,201.98653339043682,446.1724598941566
